This file was created by CMPT_BEME_RETS using the 201603 CRSP database.,,,
It contains value- and equal-weighted returns for portfolios formed on BE/ME.,,,
,,,
,,,
The portfolios are constructede at the end of June.,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Lo 30,Med 40,Hi 30
196107,3.05,3.41,1.14
196108,3.16,1.88,2.07
196109,-1.2,-3.08,-3.67
196110,2.24,3.92,2.56
196111,4.92,4.19,4.34
196112,-0.24,0.33,1.51
196201,-4.98,-1.79,0.72
196202,1.84,2.26,2.35
196203,-0.35,-0.36,-1.87
196204,-6.63,-5.76,-6.25
196205,-9.1,-7.11,-6.88
196206,-9.04,-6.95,-6.73
196207,8.07,5.26,4.16
196208,2.79,1.74,2.45
196209,-5.11,-4.74,-4.76
196210,0.48,0.53,-0.15
196211,11.37,10.13,13.95
196212,1.44,1.68,0.23
196301,5,4.47,7.71
196302,-2.8,-1.8,-0.76
196303,3.36,3.25,4.65
196304,4.92,4.48,5.59
196305,2.31,1.21,4
196306,-2.31,-1.47,-0.69
196307,-0.05,0.36,-1.5
196308,5.38,4.67,7.04
196309,-1.1,-1.63,-1.84
196310,3.8,1.3,2.21
196311,-0.31,-1.41,0.36
196312,2.02,2.83,1.59
196401,2.64,2.68,2.96
196402,1.42,1.72,4.43
196403,0.91,3.11,3.46
196404,0.38,0.95,-0.84
196405,1.52,1.17,3.68
196406,1.67,1.29,2.35
196407,1.9,2.35,2.31
196408,-1.23,-0.82,-1.28
196409,2.37,3.51,5.12
196410,0.31,1.75,1.52
196411,0.48,0.86,-2.88
196412,1.11,-0.33,-1.93
196501,4.02,3.05,5.04
196502,0.65,0.31,1.14
196503,-1.11,-1.45,0.63
196504,3.8,2.62,3.4
196505,-0.27,-0.01,-2.04
196506,-4.7,-5.23,-5.62
196507,1.36,1.71,4.16
196508,3.03,2.95,3.14
196509,3.8,2.33,3.68
196510,2.92,2.12,5.83
196511,0.09,0.17,1.02
196512,0.93,1.06,4.29
196601,-0.08,1.5,4.98
196602,-1.45,-0.53,0.48
196603,-1.51,-2.68,-3.48
196604,2.51,2.03,2.7
196605,-4.37,-5.42,-8.05
196606,-1.93,-0.06,-0.14
196607,-1.63,-0.67,-1.09
196608,-7.77,-6.82,-8.03
196609,-1.02,0.1,-0.68
196610,3.01,6.74,4.19
196611,3.85,-0.66,0.01
196612,-0.25,1.49,0.12
196701,8.25,7.04,13.41
196702,2.12,-0.12,-0.13
196703,4.33,3.97,5.15
196704,5.97,1.96,3.18
196705,-4.88,-3.34,-2.44
196706,1.72,2.58,5.22
196707,4.99,3.8,8.06
196708,-0.74,-0.77,0.99
196709,3.92,2.91,2.06
196710,-1.47,-3.63,-4.97
196711,1.1,0.38,-0.38
196712,2.49,3.61,5.24
196801,-5.99,-1.05,-0.07
196802,-3.49,-2.37,-3.84
196803,1.72,-0.75,0.12
196804,10.5,6.18,12.39
196805,2.76,0.91,6.16
196806,-0.03,3.37,0.21
196807,-4.63,-0.07,0.4
196808,1.39,1.58,2.74
196809,3.64,4.51,5.01
196810,-0.62,1.71,2.95
196811,5.74,5.8,5.64
196812,-4.38,-3.08,-3.09
196901,-1.82,0.03,0.31
196902,-4.53,-5.57,-5.38
196903,3.83,2.49,2.9
196904,3.02,0.52,2.67
196905,-0.19,0.71,0.79
196906,-4.15,-8.19,-7.42
196907,-5.4,-7.72,-6.14
196908,6.74,4.46,2.74
196909,-0.56,-3.43,-4.55
196910,6.67,4.86,4.13
196911,-2.44,-3.96,-3.83
196912,-0.29,-2.11,-4.58
197001,-7.91,-8.23,-5.33
197002,3.54,7.48,7.87
197003,-2.2,1.26,1.01
197004,-11.43,-9.9,-7.86
197005,-8.2,-4.65,-4.57
197006,-5.68,-3.53,-6.69
197007,5.24,9.59,7.71
197008,4.23,5.4,5.98
197009,7.98,0.95,4.61
197010,-1.12,-1.94,-3.04
197011,4.79,5.43,5.77
197012,5.53,6.89,6.34
197101,5.12,4.44,6.3
197102,2.55,0.55,2.03
197103,6.16,3.22,2.43
197104,3.94,2.7,4.88
197105,-2.85,-4.33,-4.64
197106,1.11,-0.24,-0.43
197107,-4.31,-3.59,-5.13
197108,5.49,1.4,8.09
197109,0.41,-1.18,-2.42
197110,-3.96,-3.56,-4.93
197111,0.72,-0.56,-1.95
197112,9.21,8.68,10.22
197201,2.95,0.92,6.53
197202,4.5,1.21,1.49
197203,2.18,-1.22,0.46
197204,0.71,0.21,0.94
197205,2.78,0.66,-1.7
197206,-1.12,-2.77,-5.49
197207,0.32,-1.35,-1.24
197208,1.33,6.53,6.63
197209,-0.58,-1.25,-0.27
197210,0.38,2,1.27
197211,2.98,6.44,9.26
197212,2.51,-0.79,-0.8
197301,-2.8,-2.48,-1.71
197302,-3.26,-5.2,-4.99
197303,-1.41,0.19,0.93
197304,-6.26,-2.83,-1.84
197305,-1.19,-2.56,-3.79
197306,-1.03,-0.59,-1.07
197307,6.95,2.86,5.88
197308,-3.41,-3.13,-1.57
197309,2.69,9.12,8.9
197310,-0.4,-0.17,0.09
197311,-13.07,-10.73,-11.99
197312,-1.46,4.77,4.41
197401,-0.65,-0.18,6.24
197402,-1.02,1.22,2.08
197403,-1.69,-3.27,-2.19
197404,-3.74,-5.89,-4.16
197405,-1.87,-5.36,-6.28
197406,-2.11,-1.79,-2.23
197407,-9.33,-4.39,-2.82
197408,-10.05,-5.92,-7.17
197409,-13.6,-6.18,-7.21
197410,21.1,10.84,8
197411,-4.07,-3.56,-4.42
197412,-3.4,-0.63,-4.18
197501,11.03,17.96,23.93
197502,8.14,2.83,2.58
197503,3.08,2.15,7.53
197504,5.72,2.24,5.64
197505,5.86,5.97,2.75
197506,4.42,6.49,7.24
197507,-7.33,-3.73,-3.73
197508,-2.33,-2.04,-4.03
197509,-3.93,-2.8,-3.66
197510,6.32,5.46,4.56
197511,2.97,3.4,4.23
197512,-1.81,0.29,0.22
197601,10.95,15.08,20.91
197602,-1.02,2.61,7.9
197603,2.76,2.81,2.04
197604,-1.57,0.06,-1.35
197605,-0.62,-1.65,-1.85
197606,4.44,4.96,5.08
197607,-1.19,0.27,0.52
197608,-0.43,0.86,-1.04
197609,2.24,3.06,2.66
197610,-2.48,-1.2,-2.91
197611,-0.54,2.53,2.71
197612,5.01,6.95,9.24
197701,-5.98,-1.15,1.03
197702,-1.82,-1.48,-1.17
197703,-1.55,-0.46,0.39
197704,-1,1.92,3.65
197705,-1.73,-0.05,-0.72
197706,5.75,4.05,5.65
197707,-1.38,-0.94,-2.01
197708,0.36,-3.2,-2.51
197709,-0.55,1.12,-0.26
197710,-4.28,-3.62,-2.64
197711,4.29,4.2,5.95
197712,0.41,0.95,1.29
197801,-6.29,-5.37,-2.61
197802,-2.25,0.61,-0.37
197803,2.48,3.95,5.08
197804,10.98,5.76,6.97
197805,2.33,1.68,3.43
197806,-1.36,-1.24,-0.84
197807,6.9,4.22,5.87
197808,4.01,4.83,3.68
197809,-2.49,0.82,-0.2
197810,-11.28,-10.15,-13.36
197811,3.48,3.45,3.33
197812,2.89,0.84,0.16
197901,3.75,5.37,7.4
197902,-3.69,-2.35,-2.65
197903,6.29,5.98,7.78
197904,0.34,0.86,1.33
197905,-1.91,-1.22,-0.84
197906,3.36,5.58,5.75
197907,0.76,2,3.01
197908,7.01,5.64,5.78
197909,-0.62,0.73,-0.83
197910,-6.97,-6.65,-8.93
197911,7.06,5.83,4.66
