This file was created by CMPT_ME_RETS using the 201603 CRSP database.  It contains,,,
value- and equal-weighted returns for size portfolios.  Each record contains returns for:,,,
,,,
The portfolios are constructed at the end of June.,,,
,,,
,,,
,,,
  Value Weighted Returns -- Monthly,,,
,Small 30,Med 40,Big 30
195905,0.34,1.18,2.14
195906,0.31,1.54,-0.16
195907,2.95,3.07,3.47
195908,-1.02,-1.36,-1.18
195909,-4.36,-4.7,-4.47
195910,1.74,2.2,1.47
195911,0.7,1.78,1.88
195912,2.96,2.04,2.91
196001,-2.45,-4.96,-6.94
196002,1.06,1.03,1.5
196003,-2.91,-2.47,-1.11
196004,-2.16,-1.83,-1.52
196005,1.95,2.81,3.29
196006,2.03,2.44,2.34
196007,-1.98,-2.12,-2.25
196008,3.79,3.71,3.1
196009,-5.97,-6.06,-5.79
196010,-3.13,-2.32,-0.2
196011,3.36,5.31,4.79
196012,3.59,3.82,5.01
196101,8.67,8.43,6.14
196102,7.12,6.46,3.29
196103,7.25,5.13,2.71
196104,1.99,0.65,0.38
196105,4.22,3.87,2.4
196106,-5.1,-4.11,-2.61
196107,0.41,1.04,3.32
196108,0.82,1.8,2.83
196109,-3.6,-2.66,-1.85
196110,1.82,2.13,2.86
196111,5.8,4.85,4.6
196112,-0.25,-0.67,0.1
196201,1.39,-1.91,-3.9
196202,1.49,1.63,2.06
196203,-0.27,-0.86,-0.46
196204,-7.12,-6.43,-6.33
196205,-9.99,-10.01,-8.1
196206,-8.27,-7.88,-8.3
196207,7.5,5.93,6.6
196208,3.29,3.06,2.21
196209,-7.02,-6.02,-4.77
196210,-3.35,-2.07,0.79
196211,14.68,13.44,10.8
196212,-2.04,-0.92,1.74
196301,10.17,6.84,4.78
196302,-0.77,-1.71,-2.27
196303,1.94,1.65,3.67
196304,4.24,3.83,4.9
196305,4.25,3.16,1.87
196306,-1.38,-1.84,-1.82
196307,-0.84,-1.37,0.06
196308,3.62,5.39,5.39
196309,-1.27,-2.1,-1.18
196310,1.33,1.59,3.06
196311,-1.5,-1.01,-0.48
196312,-1,1.37,2.34
196401,3.54,1.31,2.73
196402,2.6,2.71,1.69
196403,2.97,3.29,1.5
196404,-0.48,-0.27,0.53
196405,1.02,1.74,1.68
196406,1.15,1.49,1.56
196407,3.32,2.19,1.98
196408,-0.63,-0.85,-1.19
196409,3.94,3.25,2.91
196410,1.85,1.67,0.72
196411,0.33,0.04,0.31
196412,-1.59,-0.35,0.48
196501,7.14,5.58,3.55
196502,3.21,3.4,0.3
196503,1.9,0.17,-1.27
196504,4.3,4.03,3.27
196505,-0.93,-0.54,-0.35
196506,-9.39,-8.13,-4.54
196507,3.13,3.14,1.5
196508,4.21,5.14,2.78
196509,2.67,3.42,3.18
196510,6.84,4.72,2.56
196511,4.86,4.37,-0.39
196512,4.54,3.23,0.94
196601,7.39,3.63,0.43
196602,4.43,1.8,-1.51
196603,-1.44,-2.65,-2.06
196604,6.86,3.67,2.02
196605,-10.92,-8.01,-4.46
196606,0.36,-0.23,-1.28
196607,-1.68,-1.33,-1.22
196608,-10.92,-9.19,-7.1
196609,-1.94,-1.31,-0.5
196610,-2.88,0.83,5.17
196611,4.35,4.88,1.23
196612,2.07,2.19,0.21
196701,18.84,13.25,7.41
196702,4.92,1.75,0.82
196703,6.81,5.75,4.04
196704,4.35,4.13,4.22
196705,-0.82,-1.2,-4.55
196706,10.74,5.56,1.76
196707,9.43,6.13,4.45
196708,0.6,0.04,-0.77
196709,7.42,4.15,3.04
196710,-2.29,-3.1,-2.64
196711,0.04,1.21,0.69
196712,10.42,5.79,2.49
196801,2.56,-2.22,-4.19
196802,-6.53,-4.8,-2.7
196803,-1.19,0.12,0.82
196804,16.39,12.35,8.31
196805,11.25,5.76,1.53
196806,0.45,1.39,1.16
196807,-2.61,-4.65,-1.81
196808,4.3,2.46,1.49
196809,7.06,6.47,3.83
196810,0.48,1.08,0.86
196811,7.55,8.09,5.37
196812,1.31,-2.31,-4.17
196901,-0.61,-1.59,-0.63
196902,-9.63,-7.8,-4.31
196903,2.94,1.98,3.38
196904,0.93,1.42,2.26
196905,0.88,-0.06,0.35
196906,-12.95,-10.25,-5.24
196907,-10.9,-8.11,-5.9
196908,5.17,6.1,5
196909,-2.53,-1.11,-2.59
196910,9.88,7.87,4.9
196911,-6.13,-4.31,-2.95
196912,-7.51,-3.08,-1.34
197001,-4.19,-6.59,-7.75
197002,3.39,4.35,6.09
197003,-3.39,-1.11,-0.1
197004,-17.81,-14.45,-9.18
197005,-9.49,-10.01,-5.55
197006,-8.19,-6.07,-4.81
197007,5.7,7.85,7.46
197008,6.89,6.17,4.78
197009,15.19,9.14,3.45
197010,-7.47,-4.33,-1.09
197011,-0.56,3.98,5.58
197012,8.77,8.67,5.67
197101,14.36,8.2,4.18
197102,4.59,2.49,1.42
197103,5.76,5.81,4.05
197104,2.51,4.27,3.51
197105,-5.74,-3.32,-3.65
197106,-2.23,-0.23,0.55
197107,-6.25,-4.59,-3.93
197108,4.52,5.51,4.05
197109,-0.55,-0.49,-0.47
197110,-6.21,-5.09,-3.72
197111,-4.41,-1.52,0.41
197112,13.1,11.28,8.53
197201,11.3,5.21,1.84
197202,3.97,3.6,2.92
197203,-0.26,0.93,0.91
197204,0.66,0.46,0.57
197205,-2.73,0.62,2.01
197206,-3.22,-2.68,-1.95
197207,-4.02,-2.74,0.07
197208,0.06,2.42,3.92
197209,-3.98,-2.78,-0.31
197210,-2.13,-0.56,1.28
197211,5.11,6.32,4.74
197212,-2.36,-0.78,1.42
197301,-4.22,-6.32,-1.98
197302,-8.38,-7.02,-3.55
197303,-2.53,-2.64,-0.29
197304,-7.25,-6.92,-4.22
197305,-8.95,-6.47,-1.3
197306,-3.18,-3.11,-0.59
197307,12.63,9.79,4.55
197308,-5.4,-2.84,-3.07
197309,8.65,10.27,4.44
197310,-0.53,-0.19,-0.21
197311,-18.85,-17.2,-10.74
197312,-3.36,0.33,1.56
197401,11.74,5.44,-1
197402,0.33,0.02,0.08
197403,0.29,-2.01,-2.5
197404,-5.85,-5.97,-4.29
197405,-7.44,-7.89,-2.88
197406,-2.89,-3.49,-1.92
197407,-5.44,-4.41,-7.93
197408,-8.31,-8.87,-8.76
197409,-8.22,-8.44,-11.4
197410,8.76,12.41,17.81
197411,-5.09,-3.67,-4
197412,-7.45,-5.17,-2.08
197501,26.94,22.76,12.25
197502,4.84,4.03,6.37
197503,7.37,5.88,2.39
197504,3.55,4.62,4.7
197505,7.98,6.67,5.31
197506,7.1,5.93,5.01
197507,-1.38,-4.14,-6.72
197508,-5.82,-3.9,-1.92
197509,-3.39,-3.97,-3.65
197510,1.76,3.68,6.46
197511,2.22,3,3.18
197512,-1.11,-0.24,-1.28
197601,19.31,16.31,11.63
197602,10.48,5.49,-0.72
197603,1.44,1.62,2.91
197604,-1.2,-1.03,-1.06
197605,-2.32,-1.42,-0.79
197606,2.56,5.04,4.62
197607,0.2,-0.03,-0.74
197608,-1.83,-1.22,0.22
197609,2.02,2.53,2.44
197610,-1.95,-2.05,-2.07
197611,3.35,3.63,0.09
197612,10.04,8.26,5.45
197701,3.77,-0.66,-4.68
197702,-0.2,-1.57,-1.69
197703,0.64,0.26,-1.3
197704,2,1.65,0.16
197705,0.2,-0.24,-1.28
197706,6.04,6.05,4.88
197707,0.99,-0.77,-1.5
197708,-0.37,-1.03,-1.4
197709,1.42,0.58,-0.03
197710,-2.38,-2.67,-4.18
197711,8.2,6.93,3.72
197712,2.53,1.36,0.5
197801,-1.49,-4.69,-6
197802,2.73,0.95,-1.61
197803,7.2,5.42,2.57
197804,8.23,7.47,8.67
197805,6.93,4.61,1.37
197806,0.54,0.18,-1.64
197807,5.51,5.76,5.61
197808,8.77,6.65,3.35
197809,-0.65,-1.45,-0.64
197810,-20.57,-16.55,-9.04
197811,5.59,4.45,3.05
197812,1.93,1.95,1.62
