,Mkt-RF,SMB,HML,RF
192610,0.95,1.53,0.99,0.19
192610,0.28,1.49,-0.38,0.22
192610,3.66,-0.54,-1.32,0.2
192610,1.73,-2.11,1.78,0.22
192610,-0.25,0.66,1.38,0.25
192610,3.17,-0.33,0.28,0.25
192610,-1.39,-0.78,0.4,0.19
192610,-4.8,-0.08,0.5,0.31
192610,1.28,1.43,-2.04,0.3
192610,1.6,1.29,-3.27,0.26
192610,2.45,-0.6,-0.08,0.34
192610,-6.98,2.05,2.69,0.33
192610,1.17,0.56,-2.03,0.29
192610,-1.63,-0.47,-2.84,0.35
192610,-1.71,0.39,-2.37,0.19
192610,3.12,1.27,-3.72,0.27
192610,2.08,-0.17,-0.26,0.24
192610,-2.37,-0.57,2.12,0.13
192610,3.01,0.88,-0.17,0.17
192610,-5.99,-1.14,1.62,0.16
192610,-0.71,-3.95,2.61,0.22
192610,4.69,0.29,-2.4,0.13
192610,4.71,-1.6,-0.71,0.16
192610,6.2,0.68,3.67,0.19
192610,3.57,3.94,-0.68,0.14
192610,2.89,3.19,-0.68,0.2
192610,0.29,0.12,2.04,0.17
192610,2.4,1.93,0.51,0.18
192610,-3.08,-2.48,-0.19,0.2
192610,2.83,-1.9,-0.13,0.18
192610,2.57,-1.81,-0.19,0.14
192610,-2.15,-1.12,-0.48,0.17
192610,2.57,-1.98,0.61,0.19
192610,4.45,1.05,-0.9,0.15
192610,-0.18,-1.12,2.21,0.19
192610,-3.87,1.84,4.99,0.24
192610,1.81,-1.19,0.89,0.2
192610,-0.68,0.23,-1.01,0.2
192610,-6.59,-0.98,0.48,0.22
192610,-8.65,-3.01,2.31,0.24
192610,-8.47,-0.77,2.8,0.2
192610,6.28,1.6,-3.6,0.27
192610,2.13,1.24,-1.24,0.23
192610,-5.22,-2.48,1.32,0.21
192610,-0.05,-4.01,1.36,0.25
192610,10.87,2.58,1.04,0.2
192610,1.01,-3.79,0.33,0.23
192610,4.93,3.1,2.19,0.25
192610,-2.38,0.48,2.25,0.23
192610,3.08,-2.51,1.93,0.23
192610,4.51,-1.32,1.03,0.25
192610,1.76,1.07,2.56,0.24
192610,-2,-0.27,0.73,0.23
192610,-0.39,-0.55,-0.82,0.27
192610,5.07,-0.97,1.63,0.25
192610,-1.57,-0.32,0.19,0.27
192610,2.53,-0.54,-0.11,0.29
192610,-0.85,-1.1,1.66,0.27
192610,1.83,-1.96,-0.11,0.29
192610,2.24,-0.18,1.64,0.3
192610,1.54,0.09,2.83,0.26
192610,1.41,0.99,3.36,0.31
192610,0.1,-1.41,-0.42,0.29
192610,1.42,-0.88,1.88,0.26
192610,1.27,-0.3,0.72,0.3
192610,1.74,0.23,0.7,0.3
192610,-1.44,0.09,0.12,0.28
192610,2.69,-0.52,1.65,0.28
192610,0.59,0.45,1.14,0.29
192610,0,0.6,-1.96,0.29
192610,0.03,-0.24,-2.58,0.31
192610,3.54,2.67,0.2,0.28
192610,0.44,3.48,0.19,0.3
192610,-1.34,1.79,1.07,0.36
192610,3.11,1.19,0.7,0.31
192610,-0.77,0.03,-1.61,0.31
192610,-5.51,-4.35,0.58,0.35
192610,1.43,0.85,2.22,0.31
192610,2.73,2.84,-1.07,0.33
192610,2.86,0.62,-0.11,0.31
192610,2.6,2.43,1.6,0.31
192610,-0.03,4.68,0.23,0.35
192610,1.01,2.07,2.08,0.33
192610,0.72,3.86,3.57,0.38
192610,-1.21,4.45,0.36,0.35
192610,-2.51,0.95,-2.05,0.38
192610,2.14,3.43,-0.45,0.34
192610,-5.66,-4.65,-1.65,0.41
192610,-1.44,1.06,0.49,0.38
192610,-1.63,-0.32,0.82,0.35
192610,-7.91,-3.32,0.56,0.41
192610,-1.06,-1.1,0.5,0.4
192610,3.86,-6.59,2.81,0.45
192610,1.4,4.33,-4.6,0.4
192610,0.13,1.85,-1.29,0.4
192610,8.15,8.43,2.03,0.43
192610,0.78,3.37,-2.26,0.36
192610,3.99,1.74,0.19,0.39
192610,3.89,0.57,-2.54,0.32
192610,-4.33,2,0.89,0.33
192610,2.41,6,0.95,0.27
192610,4.58,3.09,2.65,0.31
192610,-0.89,0.48,1.46,0.31
192610,3.11,3.09,-2.46,0.32
192610,-3.09,1.42,-3.38,0.39
192610,0.37,0.2,-1.71,0.36
192610,3.05,5.73,-0.39,0.33
192610,-4.06,3.9,4.77,0.4
192610,-3.75,-2.96,1.17,0.39
192610,0.2,-1.28,-0.59,0.38
192610,9.05,5.73,-1.02,0.43
192610,2.28,6.42,0.85,0.45
192610,0.69,-0.17,0.68,0.43
192610,-2.72,-1.31,5.48,0.48
192610,1.34,2.34,1.01,0.42
192610,4.03,2.8,0.26,0.43
192610,0.42,-0.47,2.91,0.44
192610,5.43,2.37,-0.9,0.42
192610,-3.94,3.44,0.02,0.43
192610,-1.25,-0.79,1.69,0.53
192610,-5.84,-3.88,0.92,0.46
192610,2.64,-0.26,-0.45,0.46
192610,1.46,-0.86,0.05,0.53
192610,-0.1,-0.27,0.74,0.48
192610,-7.18,-5.39,-1.1,0.51
192610,-7,-3.21,1.42,0.53
192610,4.68,0.94,-3.85,0.5
192610,-2.98,1.22,-3.22,0.62
192610,5.06,3.8,-3.22,0.6
192610,-3.79,-2.53,-1.11,0.52
192610,-2.63,-3.67,-3.08,0.64
192610,-8.1,2.91,3.07,0.6
192610,5.13,-2.39,4.02,0.62
192610,-1.06,-2.32,4.25,0.57
192610,-11,-6.11,6.4,0.5
192610,-6.92,-4.51,3.63,0.53
192610,-5.79,-2.13,0.79,0.58
192610,6.93,-0.55,1.05,0.52
192610,4.49,1.53,1.08,0.53
192610,4.18,8.62,-5.5,0.54
192610,-2.28,-4.22,0.21,0.46
192610,4.59,-4.07,1.69,0.46
192610,5.72,2.93,0.98,0.42
192610,4.84,7.44,1.35,0.38
192610,1.41,1.89,-1.34,0.33
192610,4.13,2.57,-3.99,0.3
192610,3.15,-0.48,0.74,0.28
192610,-3.98,-1.11,-1.37,0.29
192610,-0.1,-1.43,-2,0.37
192610,-4.5,-1.5,0.17,0.4
192610,3.79,-0.18,2.71,0.47
192610,-0.85,0.41,-2.94,0.37
192610,-4.42,-1.78,-0.47,0.37
192610,-0.46,-2.83,-1.74,0.37
192610,8.71,3.29,-0.3,0.37
192610,2.49,6.11,2.03,0.29
192610,2.87,1.38,-2.76,0.25
192610,0.63,-0.27,-1.69,0.27
192610,0.29,0,0.22,0.29
192610,1.25,-2.79,-2.69,0.3
192610,-2.43,0.33,-2.48,0.29
192610,-0.8,-2.88,0.77,0.31
192610,3.26,-4.07,4.68,0.29
192610,-1.14,-2.68,0.49,0.34
192610,0.52,-2.71,1.32,0.4
192610,4.6,-1.12,4.78,0.37
192610,0.62,-1.86,-2.29,0.37
192610,-3.29,-3.5,2.68,0.44
192610,-4.85,-3.99,1.68,0.41
192610,-1.29,-2.87,2.84,0.46
192610,-5.68,-3.98,5.66,0.52
192610,-2.94,-6.11,0.19,0.51
192610,-1.56,-2.94,1.43,0.51
192610,5.04,7.86,-5.18,0.64
192610,-3.84,-2.05,1.19,0.7
192610,4.75,2.92,2.11,0.68
192610,-0.86,-0.17,1.74,0.65
192610,-12.74,-7.71,4.01,0.56
192610,0.58,-5.33,4.24,0.64
192610,-0.17,9.87,5.86,0.63
192610,-0.48,0.01,2.55,0.58
192610,-2.81,2.49,-0.09,0.56
192610,-5.29,-0.72,1.01,0.75
192610,-4.67,-3.04,-2.07,0.75
192610,-2.83,-0.18,0.77,0.6
192610,-8.05,0.89,5.22,0.7
192610,-9.35,-0.7,2.57,0.6
192610,-11.77,0.26,5.52,0.81
192610,16.1,-3.5,-9.72,0.51
192610,-4.51,-1.19,-0.08,0.54
192610,-3.44,-4.84,0.06,0.7
192610,13.66,11.02,8.22,0.58
192610,5.56,0.17,-4.53,0.43
192610,2.66,3.77,2.43,0.41
192610,4.23,-0.5,-1.16,0.44
192610,5.19,3.83,-4.07,0.44
192610,4.82,0.76,1.3,0.41
192610,-6.59,2.71,1.65,0.48
192610,-2.85,-3.2,-0.89,0.48
192610,-4.26,-0.11,0.33,0.53
192610,5.31,-3.99,0.29,0.56
192610,2.65,-1.2,2,0.41
192610,-1.6,-0.77,1.77,0.48
192610,12.16,4.79,8.6,0.47
192610,0.32,7,5.83,0.34
192610,2.33,-1.16,-0.03,0.4
192610,-1.49,-0.07,-0.02,0.42
192610,-1.35,-1.25,-1.31,0.37
192610,4.05,-1.38,0.72,0.43
192610,-1.07,0.3,1.73,0.47
192610,-0.56,-2.01,0.77,0.42
192610,2.06,0,-0.28,0.44
192610,-2.42,0.25,-0.13,0.41
192610,0.36,2.35,1.52,0.4
192610,5.65,3,2.23,0.4
192610,-4.05,4.78,4.27,0.36
192610,-1.95,1.1,0.49,0.35
192610,-1.37,1,1.04,0.38
192610,0.15,-0.1,3.45,0.38
192610,-1.46,1.2,0.83,0.37
192610,4.71,2.13,-0.65,0.4
192610,-1.69,2.13,-0.61,0.42
192610,-1.75,1.51,-2.79,0.44
192610,-0.27,1.44,-0.51,0.43
192610,-4.38,1.26,1.7,0.49
192610,4,3.69,0.35,0.5
192610,0.27,1.34,-0.34,0.49
192610,-6.01,2.22,3.29,0.49
192610,-1.38,3.57,0.8,0.46
192610,2.85,3.44,1.25,0.53
192610,7.88,0.38,-3.49,0.54
192610,1.76,4.59,-0.6,0.51
192610,-1.69,1.69,0.58,0.54
192610,5.11,0.28,-1.1,0.56
192610,3.75,5.09,-0.47,0.56
192610,-1.43,-0.42,1.87,0.62
192610,-11.91,-9.9,1.36,0.68
192610,2.71,3.03,-2.21,0.7
192610,0.88,1.25,-2.18,0.78
192610,4.23,3.69,2.26,0.77
192610,-3.56,0.46,1.18,0.73
192610,5.68,3.2,-0.65,0.81
192610,-0.06,2.16,1.08,0.8
192610,-2.21,0.52,1.87,0.82
192610,3.85,1.16,1.45,0.81
192610,0.82,1.26,1.71,0.77
192610,5.53,2.08,-1.52,0.77
192610,-0.82,-0.26,-0.9,0.83
192610,-8.1,-3.33,-1.85,0.87
192610,5.21,2.75,-3.27,0.99
192610,1.79,4.17,-1.99,0.95
192610,5.51,1.65,1.83,0.8
192610,-1.22,-1.82,0.61,0.89
192610,-12.9,-6.64,-1.06,1.21
192610,3.97,0.97,1.05,1.26
192610,5.26,2.16,0.39,0.81
192610,3.06,1.68,-0.89,0.61
192610,6.49,4.25,-6.34,0.53
192610,1.8,3.91,-2.64,0.64
192610,2.19,0.87,-4.75,0.75
192610,1.06,2.49,-2.77,0.95
192610,9.59,-3.49,-8.44,0.96
192610,-4.52,-0.28,2.71,1.31
192610,-5.04,3,6.82,1.04
192610,0.56,-0.3,1.03,1.07
192610,3.56,3.58,0.7,1.21
192610,-2.1,4.43,2.31,1.08
192610,0.11,2.01,-0.41,1.15
192610,-2.36,-0.85,5.09,1.35
192610,-1.54,-2.17,-0.6,1.24
192610,-7.03,-1.96,4.83,1.28
192610,-7.17,-2.66,5.18,1.24
192610,4.92,2.15,-4.2,1.21
192610,3.36,-0.96,1.91,1.07
192610,-3.65,1.18,0.75,0.87
192610,-3.24,-1.29,3.13,0.8
192610,-5.86,0.46,6.04,0.92
192610,-1.87,-0.18,3.81,0.98
192610,3.27,1.52,-2.79,1.13
192610,-3.99,0.47,1.82,1.06
192610,-3.09,-0.39,1.55,0.96
192610,-3.19,0.85,0.18,1.05
192610,11.14,-4.11,1.16,0.76
192610,1.29,2.88,0.33,0.51
192610,11.3,2.36,-3.69,0.59
192610,4.67,4.79,-1.93,0.63
192610,0.55,-0.17,0.02,0.67
192610,3.6,2.69,-0.87,0.69
192610,2.59,3.24,0.68,0.62
192610,2.82,1.77,2.05,0.63
192610,6.67,0.52,0.57,0.71
192610,0.52,6.16,-1.37,0.69
192610,3.07,0.9,-3.87,0.67
192610,-4.07,1.47,5.59,0.74
192610,-0.5,-4.29,5.51,0.76
192610,0.92,0.55,1.07,0.76
192610,-3.44,-3.6,5.02,0.76
